"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"","
"Aruba,""ABW"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Afghanistan,""AFG"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2.3"",""2.3"",""2.5"",""2.6"",""2.6"",""2.7"",""2.7"",""2.6"",""2.6"",""2.6"",""2.6"",""2.6"",""2.6"",""2.7"","""","
"Angola,""AGO"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2.6"",""2.7"",""2.7"",""2.7"",""2.9"",""2.8"",""2.8"",""2.7"",""2.7"","""","""","""","""","""","""","""","
"Albania,""ALB"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.4"",""3.5"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Andorra,""AND"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Arab World,""ARB"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2.92"",""2.92"",""2.92"",""2.88"",""2.92"",""2.92"",""2.9"",""2.92"",""2.92"",""2.96"",""2.9"",""2.88"",""2.7"",""2.84"",""2.76666666666667"","""","
"United Arab Emirates,""ARE"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Argentina,""ARG"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Armenia,""ARM"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4.2"",""4.2"",""4.2"",""4.1"",""4.1"",""4.1"",""4"",""4"",""4"","""","""","""","""","""","""","""","
"American Samoa,""ASM"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Antigua and Barbuda,""ATG"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Australia,""AUS"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Austria,""AUT"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Azerbaijan,""AZE"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.4"",""3.6"",""3.7"",""3.8"",""3.8"",""3.8"","""","""","""","""","""","""","""","""","""","""","
"Burundi,""BDI"",""CPIA policies for social inclusion/equity cluster average (1=low to 6=high)"",""IQ.CPA.SOCI.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3"",""3.1"",""3.3"",""3.3"",""3.3"",""3.4"",""3.4"",""3.6"",""3.6"",""3.6"",""3.6"",""3.5"",""3.5"",""3.5"",""3.5"","""","
