"Country Name,""Country Code"",""Indicator Name"",""Indicator Code"",""1960"",""1961"",""1962"",""1963"",""1964"",""1965"",""1966"",""1967"",""1968"",""1969"",""1970"",""1971"",""1972"",""1973"",""1974"",""1975"",""1976"",""1977"",""1978"",""1979"",""1980"",""1981"",""1982"",""1983"",""1984"",""1985"",""1986"",""1987"",""1988"",""1989"",""1990"",""1991"",""1992"",""1993"",""1994"",""1995"",""1996"",""1997"",""1998"",""1999"",""2000"",""2001"",""2002"",""2003"",""2004"",""2005"",""2006"",""2007"",""2008"",""2009"",""2010"",""2011"",""2012"",""2013"",""2014"",""2015"",""2016"",""2017"",""2018"",""2019"",""2020"","
"Aruba,""ABW"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Afghanistan,""AFG"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2.5"",""2.33333333333333"",""2.5"",""2.66666666666667"",""2.5"",""2.5"",""2.5"",""2.5"",""2.5"",""2.66667"",""2.66667"",""2.5"",""2.5"",""2.5"","""","
"Angola,""AGO"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""2.83333333333333"",""2.83333333333333"",""2.83333333333333"",""2.8"",""2.83333333333333"",""2.83333333333333"",""2.66666666666667"",""2.66666666666667"",""2.66666666666667"","""","""","""","""","""","""","""","
"Albania,""ALB"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4"",""4.16666666666667"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Andorra,""AND"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Arab World,""ARB"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""3.1"",""3.12666666666667"",""3.2"",""3.12"",""3.13333333333333"",""3.1"",""3.1"",""3.03333333333333"",""3.06666666666667"",""3.06666733333333"",""2.90000066666667"",""2.90000066666667"",""2.66666666666667"",""2.86666666666667"",""2.58333327777778"","""","
"United Arab Emirates,""ARE"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Argentina,""ARG"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Armenia,""ARM"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""",""4"",""4"",""4"",""4.2"",""4.16666666666667"",""4"",""4"",""4.16666666666667"",""4.33333333333333"","""","""","""","""","""","""","""","
"American Samoa,""ASM"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Antigua and Barbuda,""ATG"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
"Australia,""AUS"",""CPIA structural policies cluster average (1=low to 6=high)"",""IQ.CPA.STRC.XQ"","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","""","
